,"[0,1]","[0,4]","[1,2]","[1,3]","[1,4]","[2,3]","[3,4]"
133,4,2,5,6,7,3,4
134,7,4,7,7,0,2,0
135,7,1,6,9,2,0,9
136,6,9,2,9,8,9,1
137,2,9,2,8,4,6,9
138,5,7,5,8,8,5,7
139,4,7,4,8,8,2,8
140,8,3,3,7,2,3,2
141,7,0,8,8,9,6,0
142,3,1,2,6,2,3,7
143,0,4,9,6,6,5,9
144,1,1,9,9,6,2,5
145,3,2,7,6,2,1,0
146,5,4,4,9,0,2,0
147,3,3,7,7,0,9,4
148,5,9,9,6,5,4,2
149,1,4,0,9,0,7,0
150,7,5,8,8,7,5,5
151,8,6,9,8,6,3,4
152,4,3,6,7,9,5,1
153,0,1,8,9,9,7,6
154,7,1,8,6,8,3,2
155,4,4,3,8,1,4,3
156,6,1,2,7,9,5,6
157,7,9,6,9,0,8,9
158,9,9,4,6,4,3,7
159,4,1,3,6,3,4,1
160,0,6,6,7,6,0,1
161,4,5,5,9,2,8,1
162,1,3,3,6,9,1,3
163,2,8,9,6,1,1,9
164,7,4,9,9,3,4,7
165,9,2,1,8,4,6,8
166,1,8,7,8,4,7,8
167,0,8,3,8,2,9,0
168,7,4,9,6,7,8,0
169,4,9,5,8,1,0,2
170,0,6,8,8,1,0,6
171,1,1,3,9,0,0,3
172,2,6,6,7,1,8,6
173,2,0,8,7,2,2,0
174,7,2,4,6,0,4,1
175,0,6,2,9,7,5,9
176,1,9,4,7,5,9,2
177,9,1,9,7,8,8,0
178,3,3,8,7,3,9,1
179,6,6,3,9,1,3,0
180,4,1,1,7,6,6,0
181,3,4,0,8,4,2,0
182,9,7,6,8,4,2,2
183,2,9,4,6,0,9,7
184,6,8,5,6,1,8,7
185,5,7,0,9,1,8,1
186,5,6,3,7,9,9,0
187,9,7,3,9,0,0,7
188,1,8,2,6,7,2,1
189,6,1,2,8,4,3,8
190,1,0,7,8,2,9,3
191,5,6,7,7,4,4,4
192,0,5,4,7,6,6,4
193,3,0,2,9,7,1,0
194,6,5,1,9,3,7,6
195,1,6,8,6,8,0,3
196,3,6,1,9,6,8,2
197,2,8,8,7,8,9,2
198,0,3,6,7,3,4,4
199,7,7,2,8,3,6,7
200,8,2,3,7,9,4,4
201,5,6,2,7,7,9,8
202,8,1,4,7,4,4,3
203,8,7,5,6,2,3,2
204,0,9,3,9,8,3,8
205,5,4,5,8,8,7,9
206,6,3,2,8,6,3,4
207,4,3,8,6,4,8,4
208,9,0,8,7,5,3,6
209,1,2,8,7,1,5,5
210,2,2,5,7,9,5,5
211,1,8,5,6,5,7,2
212,1,6,8,7,7,0,6
213,2,2,9,6,1,4,2
214,4,9,2,9,5,7,3
215,1,0,8,9,5,0,5
216,8,2,5,7,5,4,8
217,4,9,6,9,4,3,1
218,1,3,5,7,1,5,5
219,7,7,5,6,2,4,1
220,9,9,0,7,2,5,6
221,5,8,8,7,8,2,1
222,8,8,7,9,9,7,5
223,8,6,3,7,9,2,2
224,6,0,8,6,9,1,8
225,9,9,0,9,8,2,8
226,6,4,0,6,9,1,2
227,7,4,8,6,3,1,0
228,9,4,0,6,1,6,4
229,0,6,6,7,4,4,8
230,4,9,8,8,9,6,8
231,8,8,9,8,6,1,4
232,1,7,8,7,2,7,8
233,1,7,6,6,5,6,7
234,1,3,7,6,1,3,7
235,3,0,1,6,7,0,9
236,3,6,1,9,8,2,6
237,8,8,4,7,1,3,5
238,8,5,8,8,0,8,1
239,9,4,9,6,0,8,1
240,6,2,8,8,7,7,3
241,4,3,6,7,8,5,8
242,0,2,7,9,4,0,2
243,8,3,5,6,8,6,4
244,1,9,1,7,1,0,2
245,6,7,5,9,2,4,8
246,8,1,3,9,1,9,6
247,2,2,8,9,0,3,1
248,1,8,6,7,4,2,2
249,4,2,2,9,8,3,7
250,4,6,3,6,8,7,3
251,2,4,4,6,4,1,9
252,7,6,7,8,6,3,3
253,3,2,5,6,1,1,8
254,8,6,9,9,5,2,6
255,5,4,0,7,0,7,1
256,3,3,9,9,1,2,2
257,9,0,8,9,1,3,8
258,5,8,0,7,0,4,9
259,4,8,9,6,7,3,0
260,4,4,6,7,4,5,7
261,7,6,7,9,7,4,9
262,0,3,5,7,2,1,9
263,3,0,4,8,6,1,2
264,3,7,2,7,6,1,1
265,6,6,0,9,3,9,3
266,3,2,6,9,7,3,4
267,8,2,0,8,2,5,8
268,4,1,0,6,5,2,1
269,2,2,7,7,7,1,4
270,3,3,8,8,6,2,0
271,8,1,8,8,9,6,6
272,4,6,8,9,8,8,4
273,5,5,5,9,4,7,5
274,3,1,6,8,4,6,4
275,5,9,1,9,0,6,1
276,4,9,5,7,8,1,0
277,3,1,6,6,1,4,3
278,9,5,9,6,5,5,1
279,7,1,4,7,5,9,3
280,6,9,6,9,4,8,4
281,2,7,8,8,4,1,2
282,5,6,8,7,2,3,0
283,6,7,8,8,3,7,9
284,8,4,6,9,4,6,1
285,3,9,7,6,7,2,3
286,5,2,0,9,7,0,8
287,3,7,0,8,9,0,7
288,1,2,1,8,8,0,8
289,9,3,4,8,2,3,6
290,9,0,8,9,6,2,2
291,4,5,5,8,0,5,9
292,6,6,0,6,6,7,7
293,9,3,3,6,0,4,1
294,4,2,1,9,9,4,4
295,2,7,6,7,8,0,2
296,5,9,2,8,3,8,6
297,2,0,9,6,9,2,3
298,0,1,0,7,9,2,2
299,8,3,4,8,6,6,8
300,2,5,5,7,7,5,4
301,4,5,4,6,4,3,2
302,6,5,3,6,2,5,5
303,7,9,9,9,5,9,2
304,6,4,9,8,2,6,9
305,1,1,5,9,0,3,2
306,9,1,5,6,4,7,6
307,0,6,7,9,7,9,9
308,9,4,6,7,3,6,5
309,1,5,8,8,1,1,5
310,9,7,7,7,2,8,5
311,2,9,4,7,9,9,1
312,2,5,4,6,8,3,4
313,8,6,3,7,1,3,8
314,2,6,5,6,1,4,0
315,7,3,3,6,7,8,4
316,3,3,7,8,1,5,3
317,1,5,8,7,7,4,5
318,6,6,0,8,6,8,2
319,8,1,5,8,7,7,1
320,9,5,6,8,7,8,3
321,8,4,5,8,8,0,4
322,9,8,6,6,6,7,1
323,8,9,2,7,6,4,7
324,9,9,4,8,4,5,0
325,3,4,5,9,4,1,5
326,9,8,3,9,9,1,6
327,4,2,6,9,0,5,7
328,7,5,4,9,6,5,1
329,0,3,6,8,3,7,7
330,2,4,9,6,9,0,5
331,6,9,5,7,7,3,3
332,4,6,2,8,9,2,2
333,9,3,8,6,5,4,1
334,6,3,6,8,3,8,2
335,1,0,8,6,9,1,0
336,3,1,4,7,4,6,3
337,3,0,9,8,2,5,0
338,3,0,8,8,2,1,6
339,3,1,8,7,0,0,0
340,4,4,9,8,0,9,2
341,4,9,2,6,4,5,9
342,9,0,9,9,9,4,9
343,9,1,8,8,0,4,1
344,0,1,5,6,3,3,9
345,4,0,4,9,6,5,9
346,8,5,7,6,6,7,0
347,0,4,3,9,9,3,3
348,9,4,8,6,0,8,5
349,8,3,4,6,7,0,9
350,9,9,0,9,8,8,8
351,2,5,7,7,2,0,6
352,8,4,5,7,1,1,1
353,3,6,7,7,1,1,6
354,3,2,0,9,4,8,7
355,4,8,7,6,2,0,0
356,9,4,3,6,4,1,2
357,9,5,4,7,8,4,6
358,6,6,2,8,7,8,1
359,5,3,2,7,0,2,3
360,8,6,5,6,8,7,7
361,1,9,4,6,6,4,9
362,2,7,9,7,2,2,1
363,2,4,4,7,8,4,5
364,4,0,4,9,5,0,8
365,7,0,1,8,7,8,0
366,7,2,5,9,6,4,9
367,9,3,3,9,3,5,4
368,9,5,5,8,0,0,2
369,0,2,5,6,4,4,0
370,8,8,4,9,4,6,3
371,1,3,7,9,2,9,6
372,9,3,6,6,9,0,5
373,5,9,2,8,6,8,3
374,3,9,5,7,2,2,6
375,8,8,6,6,5,7,4
376,5,4,5,9,5,3,8
377,2,3,0,8,7,9,7
378,0,8,3,7,8,9,5
379,0,8,3,9,2,5,8
380,2,5,9,9,1,2,2
381,1,0,7,6,4,5,0
382,5,1,4,9,9,7,7
383,3,8,0,7,5,5,7
384,8,3,2,6,2,8,6
385,9,4,4,9,1,5,9
386,0,3,7,7,3,6,3
387,9,0,8,8,4,7,0
388,1,1,3,6,8,7,8
389,0,9,0,9,2,4,6
390,8,4,6,9,1,4,0
391,1,5,2,6,2,8,9
392,6,9,0,7,1,5,4
393,2,5,2,9,9,5,0
394,7,1,9,7,3,6,3
395,5,1,8,9,1,6,2
396,3,3,3,6,5,4,4
397,8,7,9,9,3,9,0
398,0,6,0,6,2,9,8
399,6,4,8,7,0,6,4
400,5,4,9,6,1,9,8
401,6,7,6,7,6,4,1
402,7,5,7,8,3,0,4
403,6,3,0,9,6,4,9
404,9,5,4,9,5,6,6
405,8,1,2,9,8,1,4
406,0,2,5,7,7,9,0
407,4,2,1,6,8,8,1
408,4,9,8,6,0,7,7
409,1,7,0,7,1,8,8
410,2,2,7,6,0,8,6
411,0,3,0,6,0,9,1
412,3,9,1,6,8,0,5
413,7,1,6,9,3,2,2
414,8,4,8,9,6,3,2
415,6,4,7,6,8,4,1
416,7,7,8,7,7,6,0
417,9,3,7,8,7,4,7
418,6,9,9,7,9,0,6
419,0,8,3,8,3,8,1
420,7,5,1,8,9,4,1
421,2,6,0,9,1,5,8
422,1,2,3,9,0,9,2
423,8,5,7,7,0,5,5
424,5,2,3,7,5,8,3
425,7,7,8,6,5,4,3
426,8,2,6,6,5,5,3
427,9,4,8,9,7,6,2
428,7,4,0,8,7,3,5
429,5,5,8,9,2,0,3
430,7,7,0,8,4,2,2
431,7,1,2,9,5,6,4
432,9,6,5,8,0,2,4
433,1,6,6,9,9,2,6
434,2,7,2,7,9,2,5
435,6,6,3,7,4,2,9
436,1,0,5,6,7,1,9
437,5,2,7,8,6,4,1
438,2,2,6,6,9,8,0
439,8,1,3,7,4,1,9
440,1,4,5,8,2,3,3
441,1,4,4,7,7,6,7
442,3,0,8,6,8,8,2
443,7,2,4,6,1,9,2
444,7,8,7,8,1,4,7
445,1,0,7,8,9,6,5
446,1,5,6,7,1,4,4
447,8,7,1,6,4,2,5
448,0,9,1,8,7,9,3
449,1,9,7,7,5,4,4
450,7,9,3,6,9,2,4
451,3,6,7,7,9,8,9
452,6,1,1,8,1,8,4
453,1,4,3,8,1,5,4
454,3,7,9,9,2,5,9
455,9,4,4,7,3,8,5
456,5,1,4,7,8,2,8
457,2,6,5,9,0,7,1
458,3,7,5,7,4,8,6
459,4,0,0,9,2,0,1
460,0,0,7,6,5,2,3
461,8,0,2,9,1,6,5
462,8,7,9,8,4,5,1
463,9,2,9,6,0,0,0
464,4,4,6,9,2,0,7
465,7,4,8,7,2,4,5
466,5,0,5,8,1,7,5
467,8,6,0,7,9,4,3
468,2,6,4,9,6,7,5
469,1,0,2,9,2,9,4
470,5,9,5,9,4,7,9
471,4,0,7,9,7,8,5
472,4,7,6,9,1,7,2
473,6,6,6,7,8,7,7
474,3,5,2,9,4,6,5
475,8,6,6,9,3,2,2
476,0,3,6,6,9,2,6
477,5,3,7,9,8,4,4
478,8,0,8,9,9,0,4
479,2,4,0,9,2,0,1
480,1,1,6,7,3,3,9
481,7,5,3,6,8,7,2
482,4,7,1,6,9,2,3
483,3,7,3,6,9,0,7
484,9,2,9,7,4,5,1
485,1,5,4,7,2,2,8
486,4,7,4,9,7,1,7
487,9,6,5,8,5,2,5
488,2,4,2,6,2,8,2
489,1,0,2,8,6,5,5
490,3,7,5,7,7,1,0
491,2,5,5,7,6,8,6
492,0,3,4,9,1,0,3
493,6,3,3,7,4,7,2
494,9,8,9,9,1,7,9
495,8,1,9,7,5,9,7
496,8,9,6,8,5,3,4
497,9,7,4,9,7,0,4
498,7,6,4,9,1,8,3
499,8,5,8,8,7,4,4
500,4,8,2,7,9,8,5
501,0,8,1,7,1,2,4
502,9,3,9,8,2,9,0
503,2,3,1,6,5,5,5
504,0,4,2,9,2,8,7
505,1,4,3,6,8,6,3
506,1,0,8,8,9,3,8
507,4,1,3,6,8,6,2
508,4,6,9,7,8,1,1
509,6,1,0,9,0,5,6
510,6,6,8,8,9,2,0
511,7,0,0,8,7,1,7
512,9,2,4,8,6,2,0
513,6,9,8,7,8,8,6
514,7,5,9,9,9,0,5
515,7,0,5,9,5,7,3
516,2,6,0,7,6,0,2
517,3,0,8,9,2,6,2
518,3,5,8,7,0,9,9
519,9,4,7,6,1,9,6
520,9,6,1,8,9,4,5
521,3,8,2,8,6,3,0
522,3,1,8,8,9,0,1
523,7,9,6,9,2,3,2
524,7,0,7,7,2,6,5
525,9,8,7,9,5,4,0
526,5,3,5,7,7,4,5
527,2,0,6,8,2,2,9
528,3,3,7,6,3,4,6
529,4,8,1,6,9,9,5
530,6,2,4,7,1,8,3
531,5,6,6,6,1,1,5
532,4,4,0,6,3,0,1
533,7,8,9,7,7,1,9
534,0,3,9,9,1,2,1
535,5,9,9,9,7,0,1
536,5,3,3,8,5,1,9
537,8,5,0,8,0,8,6
538,8,4,8,8,6,0,7
539,0,3,1,8,4,9,0
540,4,7,7,7,9,1,6
541,8,9,8,9,5,4,4
542,8,4,6,8,9,0,9
543,5,3,9,6,1,0,4
544,4,2,2,9,2,4,1
545,6,9,2,8,9,9,4
546,5,3,3,8,0,4,9
547,0,8,6,6,7,1,9
548,3,6,7,8,2,8,9
549,5,1,7,6,3,9,8
550,3,9,3,7,9,8,6
551,8,1,6,7,0,8,6
552,7,6,9,8,3,7,8
553,7,7,3,8,2,6,7
554,5,8,7,6,3,7,9
555,4,7,6,6,2,6,7
556,8,2,2,9,0,8,7
557,4,4,4,6,4,8,4
558,4,2,8,9,0,3,2
559,4,4,6,6,2,4,1
560,5,5,1,9,7,6,5
561,5,7,9,8,7,3,3
562,0,7,7,7,6,8,3
563,7,1,5,9,4,6,9
564,2,5,9,8,5,0,0
565,7,1,8,6,7,6,8
566,5,9,3,8,4,9,6
567,8,3,7,7,3,5,0
568,7,6,1,6,6,5,6
569,7,7,1,8,6,2,9
570,9,3,0,8,7,5,3
571,7,1,4,7,8,7,0
572,0,7,3,8,0,9,6
573,4,3,0,7,5,2,4
574,7,5,6,8,7,5,3
575,8,5,9,7,5,2,7
576,1,5,0,6,6,4,1
577,5,7,9,9,7,7,3
578,2,5,0,6,9,4,8
579,3,4,9,6,2,0,7
580,8,2,1,8,0,6,4
581,5,3,7,9,1,7,1
582,3,3,3,6,1,3,5
583,2,1,9,9,9,9,9
584,8,7,4,8,7,7,4
585,1,8,4,6,5,5,2
586,5,6,1,6,1,9,1
587,1,0,1,8,7,5,8
588,0,7,6,6,1,1,6
589,7,4,7,6,1,9,5
590,9,5,3,9,4,7,3
591,0,9,7,6,4,0,8
592,8,6,6,6,7,3,1
593,6,2,9,8,5,1,8
594,6,4,8,8,6,3,1
595,2,3,7,9,4,9,5
596,1,9,5,6,3,0,5
597,4,7,9,9,0,5,3
598,3,3,6,7,4,4,0
599,5,3,2,8,1,6,2
600,0,4,4,8,3,9,2
601,2,9,9,7,9,1,1
602,0,4,3,7,0,9,9
603,3,7,0,7,4,8,6
604,0,2,3,9,5,4,2
605,2,3,6,9,2,7,0
606,9,5,7,9,9,2,5
607,9,6,9,8,7,8,6
608,7,7,9,6,7,9,1
609,7,1,3,6,8,9,8
610,6,9,7,6,9,6,5
611,7,3,8,8,8,3,6
612,4,2,1,9,9,5,0
613,6,2,4,7,3,9,4
614,9,5,9,8,0,9,1
615,4,6,1,9,0,5,8
616,5,2,1,8,7,2,5
617,1,1,5,8,1,5,7
618,5,4,1,8,0,3,0
619,4,2,2,7,9,3,5
620,0,1,8,8,3,8,1
621,7,4,6,8,1,1,9
622,1,3,9,6,6,0,8
623,2,9,0,8,7,0,4
624,4,1,4,8,4,8,0
625,1,6,8,6,2,9,9
626,9,8,8,6,6,3,0
627,2,1,6,6,2,7,9
628,0,4,4,9,6,1,9
629,3,6,6,7,0,3,3
630,0,5,8,6,0,2,0
631,6,5,6,6,6,0,6
632,5,2,8,8,7,1,2
633,9,7,3,8,6,7,2
634,1,8,9,9,0,3,3
635,5,6,8,9,5,1,6
636,8,0,7,7,7,2,8
637,8,6,1,6,5,4,6
638,3,9,1,7,7,8,3
639,1,6,6,8,6,9,8
640,0,9,6,6,8,9,4
641,5,9,9,6,2,1,5
642,7,6,9,6,7,7,8
643,3,6,4,6,0,2,2
644,0,8,6,7,4,8,8
645,9,7,3,9,8,9,6
646,1,2,7,6,8,9,9
647,4,2,2,6,3,6,9
648,4,4,2,8,7,6,7
649,2,1,1,9,7,9,7
650,2,5,4,8,5,8,7
651,1,9,4,7,7,9,6
652,9,2,0,6,9,8,6
653,3,6,5,9,5,0,5
654,8,3,4,8,5,6,3
655,8,8,0,7,9,0,1
656,2,5,1,8,0,8,9
657,1,6,8,7,5,6,1
658,1,5,7,6,5,2,1
659,4,9,8,9,1,1,5
660,9,6,4,6,7,6,4
661,1,0,7,6,4,2,2
662,9,5,8,6,0,8,5
663,6,3,7,7,7,0,9
664,2,0,1,8,6,1,0
665,1,1,4,8,8,4,7
666,2,2,1,8,0,7,0
667,4,6,0,9,2,9,7
668,0,7,3,6,1,8,4
669,7,3,9,6,6,1,0
670,6,9,1,9,9,0,9
671,6,9,5,9,7,0,0
672,8,6,5,8,4,3,6
673,6,5,1,6,2,8,6
674,7,1,9,9,1,1,0
675,2,0,3,6,0,1,1
676,9,5,3,8,5,4,5
677,6,6,7,9,2,6,6
678,0,9,9,9,6,4,4
679,1,8,8,8,7,2,6
680,7,0,4,7,0,7,5
681,9,9,0,8,9,9,7
682,2,9,8,8,3,7,3
683,7,0,0,9,5,8,5
684,4,6,9,8,7,7,4
685,5,4,2,7,6,3,8
686,4,7,8,7,1,4,7
687,1,6,0,6,1,1,1
688,7,7,5,6,2,8,9
689,9,4,1,6,4,6,6
690,9,3,6,6,2,0,8
691,0,4,9,9,8,8,8
692,9,8,4,9,7,4,4
693,6,9,5,6,7,2,7
694,4,2,2,8,3,4,0
695,0,2,2,7,6,2,4
696,9,8,6,8,9,1,5
697,7,0,6,6,9,0,6
698,2,8,2,6,5,3,4
699,6,2,1,6,8,3,3
700,8,7,8,6,9,5,3
701,7,5,9,7,3,6,1
702,8,1,8,7,6,3,8
703,8,0,7,9,9,8,3
704,9,6,9,8,8,3,7
705,8,4,1,7,9,1,7
706,8,6,6,6,8,6,2
707,6,7,1,8,7,2,5
708,9,7,0,7,7,7,2
709,5,5,4,7,3,0,6
710,6,9,9,8,7,4,7
711,1,2,6,8,2,5,0
712,6,1,3,9,1,5,3
713,4,9,7,6,3,6,9
714,7,5,5,6,1,8,3
715,7,7,0,6,0,4,5
716,2,9,9,6,5,1,7
717,4,1,4,7,8,6,6
718,3,6,8,6,4,4,2
719,4,5,3,6,4,7,0
720,5,8,2,8,5,4,4
721,9,4,7,8,5,4,6
722,9,5,2,7,9,2,9
723,1,0,7,9,1,8,6
724,8,2,5,8,3,5,1
725,9,4,2,8,5,0,5
726,6,8,6,9,4,3,5
727,5,3,8,9,7,8,3
728,9,3,3,9,4,5,9
729,2,9,7,8,3,9,3
730,3,2,2,9,0,3,0
731,8,9,9,8,2,7,0
732,5,7,3,9,9,6,5
733,9,6,9,6,3,8,3
734,2,0,0,8,1,5,5
735,7,9,3,8,5,5,8
736,0,9,7,7,4,7,1
737,5,6,0,6,5,7,4
738,7,8,7,8,1,8,1
739,6,1,3,8,3,1,9
740,5,2,3,9,3,0,0
741,3,9,0,8,5,8,2
742,1,6,7,9,2,5,5
743,6,3,1,9,2,8,5
744,6,0,5,9,6,1,4
745,9,1,3,7,3,9,4
746,7,9,7,9,9,1,6
747,1,5,9,6,2,0,0
748,3,8,1,9,5,9,0
749,4,5,5,9,6,5,2
750,0,2,2,6,7,5,6
751,9,3,4,9,0,3,4
752,8,3,6,7,6,6,2
753,2,9,1,6,2,9,1
754,2,5,9,8,4,3,1
755,6,1,5,6,7,5,5
756,8,0,9,7,5,3,4
757,8,8,4,7,0,9,6
758,4,3,9,6,0,1,0
759,1,5,7,6,2,8,2
760,6,7,1,7,4,0,5
761,2,7,7,6,2,0,8
762,7,7,2,6,7,9,8
763,2,3,4,8,2,8,6
764,3,1,4,6,0,0,3
765,0,5,4,8,2,2,8
766,0,2,1,8,1,5,3
767,2,8,9,7,8,7,3
768,4,3,7,7,6,1,0
769,2,4,1,8,0,3,3
770,7,2,3,6,0,0,3
771,3,2,3,6,2,8,5
772,9,7,8,8,1,4,7
773,3,9,2,7,4,2,1
774,1,4,9,7,5,4,5
775,3,0,8,8,1,0,4
776,4,0,1,9,0,1,5
777,0,2,3,8,2,4,7
778,3,9,0,8,0,8,3
779,6,6,1,6,0,1,2
780,2,4,4,8,0,6,4
781,0,8,8,6,5,4,7
782,0,8,7,6,5,2,0
783,1,7,9,9,6,3,2
784,0,2,8,9,6,4,5
785,6,4,5,8,6,8,8
786,1,4,8,9,3,4,9
787,1,2,0,9,3,2,2
788,6,0,3,7,2,5,3
789,3,7,6,8,3,3,1
790,3,1,6,6,4,3,6
791,8,3,5,9,9,6,3
792,4,9,5,9,5,6,2
793,2,1,6,9,2,7,8
794,8,8,7,9,4,2,8
795,4,5,8,9,9,7,4
796,1,5,6,7,9,6,2
797,1,4,4,6,9,5,9
798,6,8,0,9,9,8,1
799,6,2,4,8,7,6,6
800,6,6,0,6,6,2,2
801,9,3,1,6,8,7,0
802,6,1,2,9,7,7,8
803,2,1,2,7,2,5,3
804,1,1,2,7,3,9,9
805,8,2,7,9,4,6,6
806,4,5,2,6,4,5,4
807,1,5,2,7,1,9,2
808,3,2,8,6,4,2,8
809,4,1,0,6,4,5,7
810,6,6,5,7,5,3,8
811,6,9,6,7,1,1,0
812,8,5,4,7,1,9,7
813,6,4,5,6,2,1,5
814,1,2,2,7,2,9,8
815,4,3,8,6,7,9,7
816,9,1,0,9,0,0,3
817,5,9,5,7,3,0,5
818,9,8,9,8,6,3,9
819,8,4,2,7,6,7,6
820,9,4,1,6,4,6,9
821,6,3,9,9,9,0,7
822,6,5,6,7,0,5,4
823,9,7,4,7,1,0,5
824,4,2,6,9,9,0,2
825,7,8,6,6,8,1,2
826,0,6,1,6,4,0,1
827,4,7,5,8,8,8,9
828,5,5,6,9,7,9,3
829,1,2,9,8,3,5,2
830,3,8,8,8,1,5,3
831,4,5,8,7,8,8,4
832,3,6,3,7,3,0,6
833,0,9,2,8,3,7,7
834,2,2,3,8,8,0,8
835,4,4,2,7,7,0,3
836,1,9,3,6,3,2,8
837,5,4,4,6,6,1,9
838,6,6,1,9,0,0,3
839,1,1,0,8,2,6,9
840,1,0,5,9,2,7,0
841,8,5,0,9,0,8,0
842,9,9,3,9,6,7,1
843,9,2,6,8,1,4,6
844,9,9,8,6,0,7,5
845,3,4,5,7,9,9,5
846,1,2,9,7,6,3,1
847,7,0,0,8,6,6,1
848,6,1,9,7,8,4,7
849,5,9,2,8,5,4,1
850,5,4,0,6,3,2,8
851,1,1,6,8,3,8,9
852,3,1,4,7,3,2,2
853,2,4,7,7,9,0,6
854,7,6,4,9,1,4,0
855,7,5,9,7,5,2,5
856,7,9,4,8,4,9,8
857,0,4,7,9,3,3,2
858,4,2,2,7,9,3,5
859,2,7,3,7,4,4,5
860,6,6,8,9,9,9,1
861,8,9,2,6,9,4,7
862,8,5,8,7,6,3,6
863,9,5,8,6,6,5,2
864,1,4,6,7,8,0,9
865,1,8,9,8,8,1,6
866,9,2,9,6,4,5,8
867,2,6,3,9,9,9,0
868,6,6,8,8,6,3,1
